名称,法人,注册资本,注册时间,电话,souji1,邮箱,统一信用代码,企业类型,行业,注册地址,经营范围,省份,城市,区
嘉兴梵蒂非织造布有限公司,夏亚芳,500万元人民币,2007/1/23,0573-84814898,0573-84814588；13736872795；,,91330421798558053M,有限责任公司(自然人投资或控股),纺织业,嘉善县姚庄镇镇南路8号,制造加工：无纺布及无纺布制品、音箱毛毯、音箱配件、金属制品、电子产品、对外贸易业务。,浙江,嘉兴市,嘉善县
南京艺高博雅新型建材有限公司,陈旼,200万元人民币,2008/11/17,15951838383,025-52755926；,SYJ200718@163.COM,91320115679044041A,有限责任公司(自然人投资或控股),金属制品业 ,南京市江宁区秣陵街道秣陵工业集中区,德式纯实木门窗、铝木复合门窗、段桥铝门窗的制作、销售、安装；门窗附件、五金件销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,江宁区
江苏任之韵实业有限公司,蒋晨,3000万元人民币,2018/12/11,13332599525,,2240723395@qq.com,91320691MA1XL8X56X,有限责任公司（自然人投资或控股的法人独资）,批发业,南通市开发区海德路2号1幢100442室,房屋建筑工程、园林绿化工程施工；食品、一类医疗器械、矿产品、木材、工艺品（象牙及其制品除外）、办公用品、办公设备、金属材料及制品、塑胶制品、包装材料、汽车零配件、五金交电、电子产品、日用百货、照明电器、食用农产品的销售；电子商务（不得从事增值电信、金融业务）；展览展示服务，会务服务；国内道路货运代理；计算机信息技术领域内的技术开发、技术咨询、技术转让、技术服务；商务咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动,江苏,南通市,南通经济技术开发区
徐州恒基生命科技有限公司,孔红忠,1720万元人民币,2004/6/8,0516-80111108,18952168833；,xzhjkj@126.com,91320301761521038F,有限责任公司（自然人投资或控股的法人独资）,食品制造业,徐州经济技术开发区振兴大道56号,生物工程技术研发、推广、服务；食品生产技术开发、推广服务；食品生产、加工；保健食品生产、销售；大豆、谷物加工、销售；预包装食品、食品添加剂销售；饲料添加剂生产、销售；货物或技术进出口（国家禁止或涉及行政审批的货物和技术进出口除外）。消毒剂生产（不含危险化学品）；消毒剂销售（不含危险化学品）（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,徐州经济技术开发区
南京贝内克机械有限公司,刘成功,500万元人民币,2017/7/11,18852651387,18651799249；,276158505@qq.com,91320113MA1PCQWW34,有限责任公司(自然人投资或控股),批发业,南京市江宁区秣陵街道秣周东路12号,机械设备及配件的技术研发、设计、生产、组装、销售、技术服务；自营和代理各类商品及技术的进出口业务（国家限定公司经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,江宁区
江苏莱歇重工机械有限公司,杨晨,6000万元人民币,2017/5/27,17849502555,15895212555；,17849502555@163.com,91320301MA1P3H0Q73,有限责任公司(自然人独资),科技推广和应用服务业,徐州经济技术开发区高铁时代广场3号楼1-902,一般项目：矿山机械制造；电工机械专用设备制造；建筑工程用机械制造；建筑材料生产专用机械制造；冶金专用设备制造；机械电气设备制造；电工器材制造；建筑用金属配件制造；矿山机械销售；电气机械设备销售；建筑工程用机械销售；建筑材料销售；冶金专用设备销售；电工器材销售；建筑用金属配件销售；电气设备销售；电气设备修理；专用设备修理（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,江苏,徐州市,徐州经济技术开发区
连云港睿科智能系统工程有限公司,张成芹,300万元人民币,2011/6/27,15805138893,13605131038；18071666999；,,91320706578102636C,有限责任公司(自然人投资或控股),建筑安装业,连云港市海州区新中花园小区A-1号楼9号门面,建筑智能化工程、计算机信息系统集成工程、环保工程、电子自动化工程、水处理工程、网络工程、通信工程、照明工程、土石方工程的设计、施工；楼宇监控系统、防盗报警系统、电子巡更系统、可视对讲与门禁系统、出入口管理系统、计算机网络信息系统、紧急广播系统、LED电子显示屏、多媒体教学系统、视频会议系统安装；建筑材料、计算机及耗材销售；建筑劳务分包（劳务派遣除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,连云港市,海州区
苏州盈鑫圆电子有限公司,吴成刚,100万元人民币,2016-3-22,13962130487,15050139858；13862126825；0512-66027433；,13962130487@139.COM,91320506MA1MGJHU1D,有限责任公司(自然人投资或控股),,苏州市吴中区甪直镇彩虹路58号,"生产、加工、销售:电子产品、模具、硅胶制品;分切割、销售:双面胶、塑料保护膜;销售:五金、交电、仪器仪表;自营和代理各类商品及技术的进出口业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",江苏,苏州市,吴中区
智维自控设备技术（徐州）有限公司,孔纯洁,200万元人民币,2017/4/7,17712131558,15295499973；0516-89905252；,17712131558@163.com,91320322MA1NQ4UM3C,有限责任公司(自然人独资),科技推广和应用服务业,沛县杨屯镇苏鲁商贸城农贸市场,机电设备、自动化控制设备技术服务，高低压变频器、触摸屏、PLC控制系统、变频柜、高低压配电柜、软启动器、伺服驱动器、电路板、传感器、编码器、仪器仪表、电气设备及配件、纺织专用设备、包装专用设备、机械零部件、轻小型起重设备、工业机器人研发、制造、销售、维修，电气安装，管道和设备安装。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,沛县
泰兴市美音乐器有限公司,殷志荣,618万元人民币,2001/9/25,0523-87206558,13952603679；,myyq87206558@sina.com,9132128373175499XM,有限责任公司(自然人投资或控股),文教、工美、体育和娱乐用品制造业,泰兴市黄桥镇华溪居委会,提琴、吉它、乐器配件及木制工艺品制造；乐器及乐器材料销售；自营和代理各类商品及技术的进出口业务（国家限定企业经营或者禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,泰州市,泰兴市
连云港文升建材有限公司,张敬文,200万元人民币,2007/2/8,0518-85769068,13505139194；13905139194；,1920730585@qq.com,91320703797430808L,有限责任公司(自然人独资),非金属矿物制品业,连云港经济技术开发区新县路6号,新型建材、墙砖、草坪砖、面包砖、节能砖、蒸汽压力砖的制造生产；家具生产；建材、装潢材料、砖块、水泥管、水泥、钢筋、石子、办公用品、五金交电、饰品、日用品、粉煤灰、脱硫石膏、炉渣的销售；园林绿化工程、室内外装饰装潢工程、照明工程、景观工程、室内水电安装工程、钢结构工程、土石方工程、市政工程的设计、施工；家政服务；物业服务；普通货物仓储服务；装卸服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,连云港市,连云港经济技术开发区
南京格润标签印刷有限公司,杨兴跃,1000万元人民币,2008/5/26,025-52729058,025-52789058；15850500078；025-52729051；13951937374；,greenlabel@126.com,913201156749126637,有限责任公司(自然人投资或控股),印刷和记录媒介复制业,南京市江宁区秣陵街道工业集中区苏源大道116-3号,包装装潢印刷品排版、制版、印刷、装订。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）,江苏,南京市,江宁区
南京泰睿麒信息技术有限公司,童平,2000万元人民币,2013/12/18,025-57396588,13770898722；13770899366；13770879366；,gaochunfu@hotmail.com,91320118084176192T,有限责任公司(自然人投资或控股),研究和试验发展,南京市高淳区淳溪镇丹阳湖北路16号,计算机软硬件、电子产品技术研发、技术转让、技术咨询；计算机软硬件、电子产品、通讯设备销售、维护；计算机系统集成；建筑智能化工程、机电安装工程、建筑装饰工程、水电安装工程、安防工程、消防工程、市政公用工程承包、设计、施工；通信工程施工；机电设备、建筑材料销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,高淳区
南京艾伊科技有限公司,张东旭,600万元人民币,2008/3/20,025-87787361,15161452114； 17705175021； 025-87787362； 15751707270； ,wj.wu@autequ.com,91320114671323345Q,有限责任公司(自然人投资或控股),仪器仪表制造业,南京市江宁区清水亭东路1318号13号楼(江宁开发区),传感器、分析仪器、气体分析仪、气体检测仪、粉尘仪的开发、生产、销售和技术服务；互联网、物联网、大数据、计算机软件、嵌入式软件的技术开发、技术服务；安全设备、环保设备、仪器仪表、自动化设备、机电设备、防爆电器、防护装备的开发、生产、销售、系统集成、维护和技术服务；自营和代理各类商品和技术的进出口业务（国家限定公司经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏省,南京市,江宁区
连云港旭之吉电梯销售有限公司,徐强,300万元人民币,2012/12/3,15251215858,,37380191@qq.com,91320706058630208H,有限责任公司(自然人独资),零售业,连云港市海州区瀛洲路36-1号楼1208办公,电梯及电梯配件、自动扶梯、机械式停车设备、立体（高架）仓库存储系统、升降横移式停车设备、起重设备、空调、制冷设备、暖通设备、环保专用设备、消防设施、建筑智能化控制设备、楼宇设备自控系统、保安监控及防盗报警系统、停车场用电气信号装置的销售、安装、维修与技术服务；建筑装修装饰工程、钢结构工程设计与施工；通信设备、电子元器件、电子产品、电气设备、五金家电、装饰材料、消防器材、机械设备销售；物业管理；停车场管理服务；钢材批发与零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,连云港市,海州区
连云港市和作塑料包装有限责任公司,王春梅,500万元人民币,2003/3/7,13092391994,0518-85722678；13337869070；13851268045；,1900030020@qq.com,913207067468428963,有限责任公司(自然人独资),橡胶和塑料制品业,连云港市花果山南路64-10号,塑料制品生产；食品添加剂、建筑涂料、电光源产品、化工产品（危险化学品除外）、纸品销售、工业盐零售、塑料制品销售。自营和代理国内各类商品和技术的进出口业务，但国家限定企业经营或禁止进出口的商品和技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***,江苏,连云港市,海州区
海宁市宏宇贸易有限公司,陈虹宇,500万元人民币,2011/10/19,15381937918,18668141577；,,91330481585002094F,有限责任公司(自然人投资或控股),批发业,海宁市硖石街道风和丽苑风和二路88号,五金交电、建筑机械设备、塑料制品、室内装饰材料（不含危险化学品）、日用百货、鞋帽、服装、箱包、建筑材料、消防器材、家用电器批发、零售；从事各类商品及技术的进出口业务（国家禁止或限制的除外；涉及前置审批的除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,浙江,嘉兴市,海宁市
南京刷金建材贸易有限公司,顾天燕,500万元人民币,2017/10/17,13813394951,,,91320116MA1RNY415F,有限责任公司(自然人独资),批发业,南京市六合区龙池街道华欧大道8号01幢2-15室,建筑材料、装饰材料、水泥制品、钢材、木材销售；电线电缆、机械设备租赁及销售；土石方工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,六合区
东海县宝胜建筑工程有限公司,王卫祥,200万元人民币,2017/3/10,13775573655,15061361197；,,91320722MA1NJ6N57G,有限责任公司(自然人独资),房屋建筑业,连云港市东海县张湾乡马墩村驻地,房屋建筑工程施工、建筑装饰工程施工、景观工程施工、园林绿化工程施工、市政工程施工、机电设备安装工程、钢结构安装工程、室内外装饰装潢工程设计施工；建筑材料销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***,江苏,连云港市,东海县
嘉兴市胜琦纺织品有限公司,沈寿珠,500万元人民币,2011/2/22,13967377123,,,913304115693715860,有限责任公司(自然人投资或控股),零售业,嘉兴市秀洲区王江泾镇嘉兴·中国南方纺织城26幢13号,一般项目：针纺织品销售；针纺织品及原料销售；服装辅料销售；产业用纺织制成品销售；劳动保护用品销售；服装服饰零售；服装服饰批发；日用口罩（非医用）销售；第一类医疗器械销售；第二类医疗器械销售(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：货物进出口(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。,浙江,嘉兴市,秀洲区
杭州博优商业地产管理有限公司,郑艳,500万元人民币,2016/7/13,13957100271,15286935535；,,91330103MA27Y6RL2J,有限责任公司(自然人投资或控股),房地产业,浙江省杭州市西湖区益乐路39号1幢七层7B02室,服务：房产中介，房地产营销策划，物业管理，设计、制作、代理、发布国内广告（除网络广告发布），房地产信息咨询，餐饮管理；批发、零售：日用百货；含下属分支机构经营范围。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,浙江,杭州市,西湖区
徐州康明机械设备有限公司,王睿康,1000万元人民币,2017/9/4,15852260210,,,91320312MA1QF36K4Y,有限责任公司,通用设备制造业,徐州市铜山区三堡街道办事处胜阳村,矿山设备、工程机械、液压设备及配件制造、销售，电器设备及配件、绝缘材料、橡胶制品、塑料制品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,铜山区
杭州石象建筑装饰工程有限公司,孙闺臣,500万元人民币,2016/6/29,13148390828,0571-8456723；,,91330103MA27Y2Q03E,有限责任公司(自然人投资或控股),建筑装饰、装修和其他建筑业,浙江省杭州市西湖区留下街道留和路129号1511室,"服务:建筑工程,室内外装饰工程的设计及施工,建筑智能化工程,土石方工程,市政工程,园林绿化养护,计算机软硬件的技术开发、技术服务、技术咨询、成果转让,电器设备安装(限现场,涉及资质证凭证经营),国内广告的设计、制作、代理;批发、零售:空调,五金交电,日用百货,工艺美术品,计算机软硬件。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",浙江,杭州市,西湖区
邳州市雪源面粉有限公司,张学金,550万元人民币,2006/3/1,13357933218,0516-86971788；,276212644@qq.com,91320382784960420F,有限责任公司(自然人独资),制造业,邳州市邹庄镇呦山村,面粉加工、销售；粮食收购；普通货运；粮食销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,邳州市
南京鑫帮新型建材有限公司,张国印,200万元人民币,2013/3/19,13179389528,025-86106913；,13179389528@qq.com,91320115062625161P,有限责任公司(自然人投资或控股),研究和试验发展,南京市江宁区谷里街道牛首大道118号(科创中心),新型建材的开发、销售；装饰材料、保温材料、防水材料、粘合密封材料、塑料件、化学材料及产品、金属材料及各种辅助材料的销售；五金机电的销售、安装；耐磨地坪、环氧地坪施工；建筑装饰工程设计施工；停车场设计、施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,江宁区
沭阳以勒汽车零部件有限公司,江青宣,200万元人民币,2013-12-5,13858667061,18657633061；15150732461；15371371206；,565755525@qq.com,91321322085026436E,有限责任公司(自然人投资或控股),汽车制造业,沭阳县耿圩镇原324省道南侧、耿陇路西侧,汽车零配件、机电设备及配件、轴承及配件、铝制品、金属构件、焊接设备、电动机、清洗机及配件、五金机械、五金电器、电子产品、铜制品、阀门、消防器件生产、销售；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,宿迁市,沭阳县
江苏唐基建材科技集团有限公司,李衍奎,4000万元人民币,2009/8/19,15252033327,0516-83917939；0516-83717930；,117567192@qq.com,913203126933606578,有限责任公司(自然人投资或控股),非金属矿物制品业,徐州市铜山县三堡镇汇合路,煤矸石烧结砖生产、销售，污泥干化压块、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,铜山区
杭州互昇科技有限公司,王超,500万元人民币,2016/4/7,13385885995,18158177663；,,91330102MA27XBBN5C,有限责任公司(自然人投资或控股),信息传输、软件和信息技术服务业,浙江省杭州市上城区延安路292号8层847室,服务：网络技术、信息技术、计算机软硬件的技术开发、技术服务，商务信息咨询（除商品中介），企业管理咨询；批发、零售（含网上销售）：家具，家居用品，文化办公用品，包装材料，工艺品，家用电器，五金交电，电子产品，通信设备，仪器仪表，机电设备及配件，计算机软硬件及配件，塑料制品，金属制品，建筑材料，装饰材料；货物进出口（法律、行政法规禁止经营的项目除外，法律、行政法规限制经营的项目取得许可后方可经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,浙江,杭州市,上城区
南京欧桥智能科技有限公司,丁左芳,500万元人民币,2017/6/29,18913824418,025-84502219；,648759950@qq.com,91320105MA1PAJNH39,有限责任公司(自然人投资或控股),批发业,南京市秦淮区中山东路300号01幢2707室,许可项目：货物进出口；技术进出口；进出口代理（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；化工产品销售（不含许可类化工产品）；橡胶制品销售；塑料制品销售；日用百货销售；电子产品销售；消防器材销售；风动和电动工具销售；仪器仪表销售；机械设备销售；金属制品销售；家具销售；化妆品批发；照明器具销售；玩具销售；计算机软硬件及辅助设备批发；服装服饰批发；会议及展览服务；科技中介服务；国内贸易代理；仪器仪表制造,江苏,南京市,秦淮区
东台祥鑫纺织染整有限公司,崔恒祥,768.69万元人民币,2006/8/14,0515-85978168,13861417968；13805110948；13805111948；0515-85572438；,892198436@qq.com,91320981791089776H,有限责任公司（自然人投资或控股的法人独资）,纺织业,东台市富安镇西大街3号,纺织面料织造、漂染及后整理加工。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,盐城市,东台市
泰州倍和纺织实业有限公司,刘阿宝,600万元人民币,2006/5/8,13505262322,0523-86849001；18001444388；0523-82782690；13951161245；0523-82782691；,870424254@qq.com,91321291787674892B,有限责任公司(自然人投资或控股),纺织业,泰州市开发区西汪村四组,生产销售粘扣带、丝绒带、织带、绳子、服装、箱包、纺织辅料、精密钢管、活塞杆、减震器、气弹簧，自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,泰州市,泰州医药高新技术产业开发区
常熟市实达经编织造有限公司,顾建国,600万元人民币,2002/6/17,0512-52599520,13306238866；13962329762；0512-52599866；0512-52599896；13606230939；,724796958@QQ.COM,91320581739413452B,有限责任公司(自然人投资或控股),制造业,常熟市海虞镇汪桥村,经编布、纬编布、服装制造、加工；化纤销售；道路普通货物运输；经营本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进口业务，但国家限定公司经营或禁止进出口的商品及技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：日用口罩（非医用）生产；日用口罩（非医用）销售；劳动保护用品生产；劳动保护用品销售；产业用纺织制成品制造（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,江苏,苏州市,常熟市
连云港市安昌医疗器械销售有限公司,石磊丽,818万元人民币,2014/3/12,13775456003,15905125659；,273997497@qq.com,91320724087928003J,有限责任公司(自然人投资或控股),批发业,灌南县经济开发区福州路3号,许可经营项目：二类医疗器械批发（以药监部门备案证明所列项目经营）；三类医疗器械批发（按苏连食药监械经营许20190402号《医疗器械经营企业许可证》所列项目经营）；一类医疗器械批发；医疗设备租赁；化学试剂（不含危险化学品）、玻璃制品、五金电器、办公用品销售；医疗信息咨询；化工原料及产品（除危险品）销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。***,江苏,连云港市,灌南县
马鞍山市铠莱锐机械设备有限公司,徐小华,1300万元人民币,2008-12-29,17355555564,0555-6769208；18955513077；0555-6769595；0555-6761701；,2598065971@qq.com,91340506683617842H,有限责任公司(自然人独资),通用设备制造业,博望区博望镇三杨开发区,机械设备、机械刀片、机械模具、砂轮、五金工具、生产、销售，服装首饰、鞋帽箱包、工艺礼品、电子产品、仪器、家电、橡塑制品、通讯器材、机电设备、软件、办公设备、制冷设备、日用百货、汽车用品、汽车配件销售，机械设备租赁，自营和代理各类货物或技术进出口业务（国家法律法规限定或禁止企业经营的除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,安徽,马鞍山市,博望区
上海携兴安全设备有限公司,王凯,500万元人民币,2006/2/23,021-68973553,13681936089；15021079960；021-58385730；18621509821；021-58385363-805；13916357389；021-58385363-802；021-51389858-807；,wangkai3758@vip.sohu.com,91310115785640373P,有限责任公司（自然人独资）,零售业,浦东新区航头镇航兴南路32号3幢217室4号,"一般消防设备、消防衣、手套、安全设备、一般劳防用品、服装、日用百货、皮革制品、橡塑制品、化工产品、金属制品、机械配件、机电产品、建材、仪器仪表、电器,铁合金,炉料、工艺品、服饰的销售,商务咨询,会展、礼仪服务。",上海,上海市,
南京永惠园餐饮服务有限公司,章吉松,200万元人民币,2008/1/8,13327721036,15951666521；,2479002129@qq.com,913201116673922685,有限责任公司(自然人投资或控股),餐饮业,南京市浦口区江浦街道龙华路,餐饮服务（按《餐饮服务许可证》所列范围经营）；农副产品、食品销售；保洁服务；物业管理；家政服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,浦口区
纽伟生物制品江苏有限公司,胡祥正,1000万元人民币,2017/3/21,15996904492,13802023915；,15644887933@qq.com,91320381MA1NL81U8T,有限责任公司(自然人投资或控股),研究和试验发展,新沂市时集镇工业集中区,生物制品、医药中间体制造；医疗设备和器械的研发及相关技术服务；自营和代理各类商品和技术进出口业务；农业技术领域内的技术开发、技术服务、技术咨询、技术转让、农业信息咨询服务；保健食品、工艺品生产与销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,新沂市
徐州盛悦商贸有限公司,王德友,250万元人民币,2008/7/8,0516-82022608,13775888553；0516-82022607；,,913203126776283343,有限责任公司(自然人投资或控股),零售业,铜山县郑集镇政府办公楼202室,五金交电、工程机械设备、建筑材料、钢材、装饰装潢材料、电子产品、电线电缆、仪器仪表、办公设备、日用百货、服装、服饰销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,徐州市,铜山区
南京马可尼通信科技有限公司,燕勇,200万元人民币,2001/9/20,13451861550,13905184767；,280044677@qq.com,913201917305626467,有限责任公司(自然人投资或控股),计算机、通信和其他电子设备制造业,南京高新开发区软件创业中心四号楼203室,第一类增值电信业务中的因特网数据中心业务、第二类增值电信业务中的信息服务业务；通信应用软件的开发、制作、技术转让及咨询服务；电子通信产品（不含地面卫星接收设备）、计算机软硬件；办公自动化产品、电器产品生产、销售、技术咨询服务；动画创意、策划、设计；游戏开发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,江宁区
徐州郎瑞商贸有限公司,李雪,500万元人民币,2008/9/10,18012012018,15152101515；,1012853364@qq.com,91320300679849333U,有限责任公司(自然人投资或控股),批发业,徐州市解放南路铜山影剧院东侧3#-2-101室,矿山机械设备及配件、电子产品、建筑工程用机械、低压电器、铝及铝制品、轴承、消防器材、五金交电、建筑材料、标准件、化工原料及产品（危险品除外）、空气压缩机、钢材、有色金属、厨具、办公用机械、文具用品、服装、鞋帽、电气设备、电器设备、金属加工专用设备、包装材料、家用电器、教学专用设备、体育器材、家用销售；计算机软硬件开发、销售、维护；计算机网络技术服务；计算机信息系统集成服务；仪器仪表、安防监控设备安装、销售；建筑智能化工程、网络工程、弱电工程设计、施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动,江苏,徐州市,铜山区
浙江阿里巴巴机器人有限公司,陈丽娟,10000万美元,2016/6/23,0571-85022088,18768440137；,gsll@service.alibaba.com,91330108MA27Y19H1M,有限责任公司(台港澳法人独资),科技推广和应用服务业,杭州市滨江区网商路699号1号楼3楼304室,技术开发、技术咨询、技术成果转让：网络平台技术、电子商务平台技术，计算机软硬件，网络技术产品，多媒体产品，机器人技术；服务：系统集成的设计、调试及维护；批发、网上销售：机器人；经济信息咨询。,浙江,杭州市,滨江区
嘉兴市金茂纺织品有限公司,唐茂昇,200万元人民币,1998/9/28,0573-83744806,13905732033；,jxzhoup@163.com,91330411704409808G,有限责任公司(自然人投资或控股),纺织业,秀洲区王江泾镇龙泉富民开发区,纺织品生产、化学纤维销售*,浙江,嘉兴市,秀洲区
江苏浩澜工贸有限公司,柏爱民,1000万元人民币,2006/4/14,0515-89997888,13961988888；0515-88828888；,1074054332@qq.com,913209917876570564,有限责任公司(自然人独资),纺织服装、服饰业,盐城经济技术开发区步凤镇步湖路88号,服装加工销售；皮革制品、塑料制品、针纺织品、化妆品、卫生用品、焦炭销售；塑料制品、PE色母料加工、销售；油漆、涂料销售（上述两项限具备条件的分支机构经营）；普通货物仓储；房屋租赁；普通货物运输；预包装食品兼散装食品（食盐限零售）销售；机械零部件制造。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：产业用纺织制成品生产；产业用纺织制成品销售；第二类医疗器械销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,江苏,盐城市,盐城经济技术开发区
连云港名雅建筑装饰工程有限公司,徐德肖,500万元人民币,2014/3/14,15150938908,13812349670；,80310688@qq.com,91320703088137633C,有限责任公司(自然人独资),建筑装饰、装修和其他建筑业,连云港经济技术开发区310国道北侧、大浦路东侧,建筑装饰工程、建筑幕墙工程、建筑智能化工程、钢结构工程、园林绿化工程、土石方工程、外墙保温工程、外墙防水工程、计算机网络工程、机电设备安装工程施工；自营和代理各类商品和技术的进出口业务，但国家限定企业经营或禁止进出口的商品和技术除外；电子商务信息咨询；网络营销策划；建材销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,连云港市,连云港经济技术开发区
南京宇信贸易有限公司,林兴旺,500万元人民币,2008/10/6,15996366245,13503059899；15951089469；025-52157110；,ln6905@126.com,913201156790261347,有限责任公司(自然人独资),零售业,南京市江宁区东山街道宏运大道1813号武夷商城天骄阁1幢702室,冶金材料、矿产品、金属材料、建筑材料、装璜装饰材料、化工产品销售；铁路货物运输代理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,江宁区
杭州嘉速网络科技有限公司,李成业,500万元人民币,2017/4/11,15356651715,18668099690；13339997115；,,91330103MA28NMXL5K,有限责任公司(自然人独资),软件和信息技术服务业,浙江省杭州市下城区岳帅桥10号1幢647室,服务：网络信息技术、计算机软硬件、电子商务技术的技术开发、技术服务、技术咨询、成果转让；批发、零售：电子产品、日用百货、家用电器。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,浙江,杭州市,下城区
连云港双轩日化用品销售有限公司,顾光磊,200万元人民币,2016/8/5,18360518837,,18360518837@139.com,91320707MA1MQXDG4T,有限责任公司(自然人投资或控股),批发业,连云港市赣榆区塔山镇小探马村南城路,化妆品、香水、日用百货、服装、针纺织品、五金产品、家用电器、办公设备及用品、金属材料、电脑及配件、纸制品、箱包、灯具及配件、工艺美术品销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,连云港市,赣榆区
浙江蓝城建筑装饰集团有限公司,余维,5000万元人民币,2016/6/7,0571-86080801,13575735360；,13575735360@126.com,91330102MA27XWEH2R,其他有限责任公司,建筑装饰、装修和其他建筑业,西湖区紫荆花路108号522室,服务：承接室内外装饰工程、建筑工程、水暖弱电工程、幕墙工程、市政工程、绿化工程、消防设施工程的设计及施工、建筑门窗的施工、建筑智能化工程、钢结构工程、园林古建筑工程（以上项目涉及资质证凭证经营），图文设计、制作，市场营销策划，企业形象策划，展览展示服务，企业管理咨询，工程招标代理，工程勘测设计，机电设备安装（限现场，涉及资质证凭证经营）；批发、零售：陶瓷制品，卫浴洁具，家用电器，五金交电，机电设备（除小轿车），家具，灯具，家居用品，服装面料，木制品，办公设备，建筑材料，装饰材料，工艺美术品，酒店用品。（依,浙江,杭州市,西湖区
南京格孚德智能科技有限公司,裴文军,300万元人民币,2017/5/9,18651702666,025-58716199；,18651702666@qq.com,91320113MA1NY94C3P,有限责任公司(自然人投资或控股),研究和试验发展,南京市栖霞区八卦洲街道鹂岛路268号服贸区A区8-623,计算机软硬件技术研发、销售；电子信息技术研发；计算机系统集成；智能化系统的研发、设计、技术咨询；智能电气控制柜的技术研发、销售；自营和代理各类商品及技术的进出口业务；自动化设备、网络设备、办公用品、五金交电、日用百货销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏,南京市,栖霞区
江苏润明电子有限公司,高平霞,1000万元人民币,2016/3/18,13913902921,13813923777；,2896969610@qq.com,91320830MA1MGDEC9Q,有限责任公司(自然人独资),批发和零售业,淮安市盱眙县淮河镇工业园区经二路,电子元器件、电子产品加工、销售、研发及相关技术咨询及售后服务；数码产品及配件、通用零部件、非标准件、办公用品、劳保用品、汽车配件、光电材料、环保材料、包装材料销售；网络工程设计、施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏省,淮安市,盱眙县
